"","FID","admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","XGCSWGS84","YGCSWGS84","road_surface_condition","day"
"47",8524,1,3,106,2016,9,15,3,3,4,6,0,0,0,0,0,564546.2533,5933852.2247,9.974222112,53.549590761,NA,6
"48",8525,1,4,110,2016,9,23,7,3,1,5,1,0,0,0,0,563610.8686,5934989.1476,9.96033753,53.559922812,NA,3
"49",8532,4,4,407,2016,7,8,5,3,5,2,0,0,0,0,1,565619.9964,5940295.6556,9.991780424,53.607366115,NA,7
"50",8533,7,14,715,2016,7,19,4,3,6,7,0,1,0,0,0,555715.6003,5925132.2315,9.839404414,53.472229518,NA,20
"51",8536,2,9,221,2016,5,16,5,3,5,2,1,0,0,0,0,556047.7438,5936334.063,9.84641245,53.572872501,NA,19
"52",8543,3,5,317,2016,6,16,7,3,5,3,1,0,0,0,0,563774.5341,5939450.9198,9.963719666,53.600002145,NA,25
"53",8555,2,5,215,2016,11,17,3,3,3,2,1,0,0,0,0,561329.6747,5935377.3432,9.925979421,53.563683197,NA,15
"54",8556,7,1,702,2016,6,8,5,3,5,3,1,0,0,0,0,565340.5091,5924223.9002,9.984201482,53.462959568,NA,16
"55",8569,2,12,225,2016,9,7,2,3,2,6,0,0,0,0,0,553875.6208,5936848.4702,9.813702322,53.577723381,NA,26
"56",8570,3,9,321,2016,9,7,2,3,5,2,1,0,0,0,0,562072.4976,5936880.415,9.937491959,53.577104511,NA,26
"57",8571,1,4,111,2016,5,19,4,3,4,7,0,0,0,0,0,563850.8277,5934762.3977,9.963913319,53.557855804,NA,11
"58",8577,4,7,417,2016,8,13,5,3,5,2,1,0,0,0,0,568392.582,5935698.8,10.032670284,53.565699245,NA,18
"59",8579,3,1,307,2016,8,17,6,3,4,6,0,0,0,0,0,563135.491,5936235.0421,9.953413617,53.571177472,NA,26
"60",8580,3,1,304,2016,10,19,7,3,5,3,1,0,0,0,0,562505.5583,5936162.5198,9.943887867,53.570601117,NA,29
"61",8583,1,3,106,2016,5,9,4,3,3,6,1,0,1,0,0,564296.0979,5933951.3592,9.970467399,53.550512405,NA,18
"62",8595,3,4,316,2016,7,9,5,3,6,6,0,1,0,0,0,563959.1101,5937418.0278,9.96609158,53.581709533,NA,7
"63",8599,4,4,407,2016,6,9,6,3,5,2,1,0,0,0,0,565294.1394,5939772.3887,9.986746598,53.602704131,NA,17
"64",8613,2,5,216,2016,8,18,3,2,5,2,1,0,0,0,0,559620.8031,5935508.0011,9.900206692,53.565054407,NA,23
"65",8625,7,13,714,2016,10,11,6,2,5,2,1,0,0,0,0,558659.2913,5925155.7835,9.883752454,53.472121477,NA,7
"66",8630,2,3,209,2016,8,18,4,3,5,3,1,0,0,0,0,562346.3094,5935378.5974,9.941326962,53.563574675,NA,31
"67",8631,4,6,415,2016,8,16,5,2,5,3,1,0,0,0,0,568042.4629,5936163.2423,10.027485891,53.56991876,NA,18
"68",8635,4,6,414,2016,8,14,4,3,1,5,0,0,0,0,1,567643.4203,5936715.9528,10.021580869,53.574937641,NA,17
"69",8637,1,8,125,2016,8,14,4,3,5,3,1,0,0,0,0,570602.8547,5933997.6246,10.065652997,53.550118011,NA,10
"70",8643,2,9,221,2016,7,12,4,3,3,2,1,0,0,0,0,556047.2182,5936334.0551,9.846404512,53.572872487,NA,6
"71",8654,2,5,216,2016,11,10,3,2,4,6,0,0,0,0,0,560409.7001,5935565.8192,9.912127678,53.56548382,NA,15
"72",8657,2,6,218,2016,6,9,5,3,3,2,0,0,0,0,1,558083.372,5936040.093,9.877095194,53.570009015,NA,2
"73",8658,2,9,221,2016,10,6,5,3,5,2,1,0,0,0,0,555411.0882,5936440.1285,9.836817867,53.573893408,NA,13
"74",8663,3,5,317,2016,12,16,6,3,5,3,1,0,0,0,0,563617.245,5939999.455,9.961455137,53.604951084,NA,23
"75",8669,2,3,209,2016,10,17,6,3,5,3,1,0,0,0,0,562366.4923,5935375.131,9.941630954,53.563541123,NA,21
"76",8671,7,13,714,2016,9,7,4,3,5,3,1,0,0,0,0,558963.154,5925140.6073,9.888326955,53.471951139,NA,7
"77",8677,2,9,221,2016,8,18,2,3,5,3,0,0,0,0,0,556050.1903,5936334.0993,9.846449398,53.572872566,NA,8
"78",8680,7,14,715,2016,7,10,2,3,5,2,1,0,0,0,0,556418.9851,5925191.2503,9.850010851,53.472685063,NA,18
"79",8682,4,5,411,2016,9,7,3,3,6,7,0,1,0,0,0,567398.1115,5937900.1337,10.01813246,53.585611604,NA,6
"80",8686,1,4,111,2016,7,9,2,3,4,3,0,0,0,0,0,564059.4159,5934140.4741,9.966934293,53.55224097,NA,18
"81",8694,3,1,304,2016,6,10,2,3,5,3,1,0,0,0,0,562153.3605,5936726.9688,9.938682517,53.575715861,NA,27
"82",8695,6,1,601,2016,11,7,4,3,5,3,1,0,0,0,0,579768.5528,5927587.5414,10.202332688,53.491200326,NA,23
"83",8699,7,9,710,2016,7,16,4,3,1,5,1,0,0,0,0,563634.9708,5922395.8273,9.958145629,53.446738615,NA,20
"84",8700,4,4,407,2016,6,23,6,2,5,3,1,0,0,0,0,565340.6812,5939831.9402,9.987462323,53.60323353,NA,10
"85",8705,3,5,317,2016,7,9,3,2,5,3,1,0,0,1,0,564094.8965,5938027.6716,9.968267513,53.587171983,NA,26
"86",8716,4,6,414,2016,7,9,2,3,5,3,1,0,0,0,0,567471.1295,5937325.7706,10.019111115,53.580440342,NA,11
"87",8717,3,1,304,2016,6,17,4,3,5,3,1,0,0,0,0,562799.7741,5936481.4727,9.948394256,53.573432518,NA,8
"88",8719,4,6,415,2016,6,18,4,3,5,3,1,0,0,0,0,568306.4163,5935815.6215,10.031395031,53.566760356,NA,1
"89",8721,2,3,208,2016,10,18,5,3,0,7,0,0,0,0,0,563063.4572,5935198.8745,9.952116809,53.561873757,NA,20
"90",8727,3,1,306,2016,12,17,1,3,5,3,1,0,0,0,0,562942.6031,5936383.1093,9.950531088,53.572531377,NA,25
"91",8735,3,6,318,2016,5,16,6,3,0,3,1,0,0,0,0,563350.9946,5940634.254,9.957560941,53.61068844,NA,13
"92",8745,4,3,406,2016,6,18,6,3,5,2,1,0,0,0,0,565301.4444,5939849.0946,9.986873046,53.60339259,NA,3
"93",8746,1,4,111,2016,11,2,7,3,3,2,1,0,0,0,0,563985.8211,5934237.7454,9.96584351,53.553124153,NA,19
"94",8754,1,7,120,2016,5,18,5,3,3,2,0,0,0,0,1,568810.1281,5935002.2076,10.038820335,53.559384314,NA,26
"95",8755,4,3,406,2016,5,15,2,3,5,2,1,0,0,0,0,566113.9023,5940930.7986,9.999378853,53.613012144,NA,30
