_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7615367;22;20.0;2025-03-17;2025-03-23;2.3;LINESTRING (568397.227614 5938275.646655,568394.939907 5938305.545325);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615368;23;24.2;2025-03-17;2025-03-23;2.4;LINESTRING (568328.393667 5938735.420882,568336.366148 5938687.801272);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615369;12;20.9;2025-03-17;2025-03-23;1.5;LINESTRING (570917.565447 5937648.275654,570912.354839 5937642.522373,570897.942987 5937623.389289,570893.788181 5937617.874456);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615370;9;22.4;2025-03-17;2025-03-23;1.2;LINESTRING (565258.092429 5933092.842886,565253.259843 5933092.442269,565245.376082 5933092.222016,565236.046982 5933095.876194);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615371;11;21.3;2025-03-17;2025-03-23;1.4;LINESTRING (565205.555618 5933105.802826,565208.438731 5933103.394752,565212.382054 5933101.001328,565217.650639 5933098.626218,565221.313546 5933097.341610,565224.836243 5933096.611410,565229.815189 5933096.012605,565236.046982 5933095.876194);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615372;14;24.4;2025-03-17;2025-03-23;1.7;LINESTRING (568987.949940 5937336.339375,569017.460192 5937378.609314);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615373;12;13.5;2025-03-17;2025-03-23;1.5;LINESTRING (570127.738314 5936897.502105,570136.357221 5936901.302290);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615374;14;19.4;2025-03-17;2025-03-23;1.7;LINESTRING (570152.732609 5936909.001146,570136.357221 5936901.302290);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615375;10;20.4;2025-03-17;2025-03-23;1.3;LINESTRING (570107.379265 5936761.336699,570095.079108 5936795.759255);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615376;13;21.4;2025-03-17;2025-03-23;1.6;LINESTRING (564283.115633 5933516.079216,564300.685629 5933534.900326);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615377;13;21.1;2025-03-17;2025-03-23;1.6;LINESTRING (564343.476652 5933599.462654,564340.953824 5933590.081744,564337.045674 5933580.236877,564331.670772 5933571.039628,564325.625704 5933562.389591,564316.947032 5933552.479722,564300.685629 5933534.900326);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615378;9;21.8;2025-03-17;2025-03-23;1.2;LINESTRING (569491.361623 5936665.535919,569510.808981 5936608.740475);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615379;29;13.4;2025-03-17;2025-03-23;2.8;LINESTRING (569519.377445 5936611.537322,569510.808981 5936608.740475);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615380;21;14.0;2025-03-17;2025-03-23;2.3;LINESTRING (569503.945674 5936607.081492,569510.808981 5936608.740475);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615381;31;18.8;2025-03-17;2025-03-23;3.0;LINESTRING (568449.769582 5938509.744827,568413.452186 5938503.319999);EPSG:25832
