_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7614613;9;21.3;2025-03-17;2025-03-23;1.2;LINESTRING (10.068824 53.601509,10.068857 53.601552,10.068938 53.601658,10.069203 53.601862);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614614;14;17.3;2025-03-17;2025-03-23;1.7;LINESTRING (10.068998 53.601464,10.069096 53.601602,10.069203 53.601862);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614615;11;21.3;2025-03-17;2025-03-23;1.4;LINESTRING (10.071404 53.606802,10.071466 53.606963);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614616;10;23.4;2025-03-17;2025-03-23;1.3;LINESTRING (10.071726 53.607475,10.071466 53.606963);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614617;14;18.8;2025-03-17;2025-03-23;1.7;LINESTRING (10.078188 53.617408,10.077607 53.616961,10.077479 53.616847);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614618;11;15.5;2025-03-17;2025-03-23;1.4;LINESTRING (10.077265 53.616639,10.077362 53.616737,10.077406 53.616782,10.077479 53.616847);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614619;17;22.1;2025-03-17;2025-03-23;1.9;LINESTRING (10.037367 53.576302,10.037611 53.576474,10.037807 53.576653);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614620;17;23.3;2025-03-17;2025-03-23;1.9;LINESTRING (10.038138 53.577026,10.037807 53.576653);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614621;9;11.4;2025-03-17;2025-03-23;1.2;LINESTRING (9.980241 53.463490,9.980263 53.463524,9.980367 53.463684);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614622;12;17.5;2025-03-17;2025-03-23;1.5;LINESTRING (9.994738 53.550504,9.994569 53.550480);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614623;18;17.2;2025-03-17;2025-03-23;2.0;LINESTRING (9.994035 53.550373,9.994569 53.550480);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614624;21;18.1;2025-03-17;2025-03-23;2.3;LINESTRING (10.005246 53.554478,10.004922 53.554364);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614625;9;11.1;2025-03-17;2025-03-23;1.2;LINESTRING (10.003848 53.554103,10.003550 53.553965);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614626;13;13.9;2025-03-17;2025-03-23;1.6;LINESTRING (10.005259 53.552820,10.005188 53.552889,10.005020 53.553033,10.004597 53.553355,10.004278 53.553574,10.003893 53.553814);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614627;13;11.9;2025-03-17;2025-03-23;1.6;LINESTRING (9.994592 53.551599,9.994588 53.551662);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614628;26;12.0;2025-03-17;2025-03-23;2.6;LINESTRING (9.994593 53.551929,9.994587 53.551883,9.994588 53.551704,9.994588 53.551662);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614629;10;10.2;2025-03-17;2025-03-23;1.3;LINESTRING (9.993099 53.557606,9.993190 53.557786);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614630;9;15.2;2025-03-17;2025-03-23;1.2;LINESTRING (9.989187 53.558134,9.989307 53.558314);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614631;9;14.1;2025-03-17;2025-03-23;1.2;LINESTRING (9.979646 53.555859,9.979691 53.555886,9.979974 53.556055);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614632;9;19.1;2025-03-17;2025-03-23;1.2;LINESTRING (9.983457 53.557660,9.982908 53.557492,9.982713 53.557427,9.982526 53.557360,9.982366 53.557300,9.982212 53.557235,9.982007 53.557145,9.981791 53.557047,9.981596 53.556952);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614633;10;19.9;2025-03-17;2025-03-23;1.3;LINESTRING (9.981596 53.556952,9.981537 53.556923,9.981260 53.556773,9.979974 53.556055);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614634;9;12.5;2025-03-17;2025-03-23;1.2;LINESTRING (10.024020 53.554039,10.024214 53.553872);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614635;9;25.5;2025-03-17;2025-03-23;1.2;LINESTRING (10.017088 53.615842,10.016469 53.616325);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614636;9;22.9;2025-03-17;2025-03-23;1.2;LINESTRING (10.015711 53.617014,10.015832 53.616892,10.015949 53.616782,10.016469 53.616325);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614637;9;23.3;2025-03-17;2025-03-23;1.2;LINESTRING (10.018148 53.615046,10.017737 53.615348);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614638;11;20.3;2025-03-17;2025-03-23;1.4;LINESTRING (10.031048 53.619358,10.031732 53.619534);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614639;11;22.5;2025-03-17;2025-03-23;1.4;LINESTRING (10.032096 53.619628,10.031732 53.619534);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614640;13;20.5;2025-03-17;2025-03-23;1.6;LINESTRING (10.073706 53.610494,10.073794 53.610733);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614641;15;21.1;2025-03-17;2025-03-23;1.8;LINESTRING (10.073832 53.610842,10.073880 53.610959,10.073971 53.611183,10.074171 53.611513);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614642;15;19.0;2025-03-17;2025-03-23;1.8;LINESTRING (10.074393 53.611793,10.074171 53.611513);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614643;13;22.4;2025-03-17;2025-03-23;1.6;LINESTRING (10.078596 53.617750,10.078188 53.617408);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614644;12;18.9;2025-03-17;2025-03-23;1.5;LINESTRING (10.075942 53.613966,10.076122 53.614256);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614645;16;15.1;2025-03-17;2025-03-23;1.9;LINESTRING (10.076225 53.614598,10.076186 53.614430,10.076122 53.614256);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614646;13;19.9;2025-03-17;2025-03-23;1.6;LINESTRING (10.074534 53.611959,10.074946 53.612482,10.075054 53.612620);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614647;9;10.8;2025-03-17;2025-03-23;1.2;LINESTRING (10.075200 53.611864,10.074955 53.611893,10.074534 53.611959);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614648;13;20.5;2025-03-17;2025-03-23;1.6;LINESTRING (10.081995 53.620648,10.081607 53.620230);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614649;13;21.2;2025-03-17;2025-03-23;1.6;LINESTRING (10.081192 53.619792,10.081607 53.620230);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614650;11;21.5;2025-03-17;2025-03-23;1.4;LINESTRING (10.083869 53.622892,10.084019 53.623064,10.084183 53.623251,10.084207 53.623278,10.084217 53.623290);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614651;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (10.084397 53.623548,10.084352 53.623469,10.084217 53.623290);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614652;11;18.9;2025-03-17;2025-03-23;1.4;LINESTRING (10.089532 53.632424,10.089205 53.632026,10.089171 53.631985);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614653;11;21.3;2025-03-17;2025-03-23;1.4;LINESTRING (10.093628 53.637532,10.093318 53.637134);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614654;12;22.7;2025-03-17;2025-03-23;1.5;LINESTRING (10.084539 53.623776,10.084788 53.624393,10.084885 53.624731);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614655;10;22.4;2025-03-17;2025-03-23;1.3;LINESTRING (10.085009 53.625139,10.084885 53.624731);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614656;11;15.2;2025-03-17;2025-03-23;1.4;LINESTRING (10.039326 53.591388,10.038894 53.591384,10.038772 53.591383,10.038625 53.591381);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614657;22;23.7;2025-03-17;2025-03-23;2.3;LINESTRING (10.036935 53.591220,10.038427 53.591362,10.038476 53.591367,10.038625 53.591381);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614658;11;14.7;2025-03-17;2025-03-23;1.4;LINESTRING (10.058976 53.574718,10.059015 53.574558,10.059021 53.574530,10.059050 53.574323);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614659;10;17.7;2025-03-17;2025-03-23;1.3;LINESTRING (10.059078 53.574016,10.059067 53.574132,10.059062 53.574177,10.059050 53.574323);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614660;11;22.6;2025-03-17;2025-03-23;1.4;LINESTRING (10.047039 53.583889,10.047102 53.583988,10.047242 53.584210);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614661;10;20.9;2025-03-17;2025-03-23;1.3;LINESTRING (10.035221 53.620036,10.035269 53.619997,10.035317 53.619941,10.035382 53.619866,10.035404 53.619762);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614662;11;24.5;2025-03-17;2025-03-23;1.4;LINESTRING (10.035929 53.619763,10.035404 53.619762);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614663;10;21.7;2025-03-17;2025-03-23;1.3;LINESTRING (10.043370 53.619789,10.043685 53.619790);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614664;11;22.3;2025-03-17;2025-03-23;1.4;LINESTRING (10.047286 53.619802,10.048047 53.619804,10.048150 53.619797,10.048236 53.619784,10.048332 53.619762);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614665;11;23.7;2025-03-17;2025-03-23;1.4;LINESTRING (10.053512 53.619722,10.053677 53.619722,10.053966 53.619723,10.054212 53.619749);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614666;9;23.5;2025-03-17;2025-03-23;1.2;LINESTRING (10.054546 53.619851,10.054384 53.619795,10.054212 53.619749);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614667;10;20.8;2025-03-17;2025-03-23;1.3;LINESTRING (10.056078 53.619863,10.055240 53.619780);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614668;10;21.3;2025-03-17;2025-03-23;1.3;LINESTRING (10.056950 53.619987,10.056830 53.619964,10.056078 53.619863);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614669;10;21.7;2025-03-17;2025-03-23;1.3;LINESTRING (10.057415 53.620075,10.057947 53.620186,10.058456 53.620337);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614670;9;21.5;2025-03-17;2025-03-23;1.2;LINESTRING (10.064255 53.620738,10.064074 53.620746,10.063726 53.620770,10.063260 53.620789);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614671;9;22.5;2025-03-17;2025-03-23;1.2;LINESTRING (10.068047 53.620017,10.066866 53.620029,10.066385 53.620150,10.066053 53.620245);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614672;9;22.7;2025-03-17;2025-03-23;1.2;LINESTRING (10.065497 53.620419,10.066053 53.620245);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614673;9;21.7;2025-03-17;2025-03-23;1.2;LINESTRING (10.068598 53.620024,10.068047 53.620017);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614674;9;20.6;2025-03-17;2025-03-23;1.2;LINESTRING (10.069692 53.620017,10.069115 53.620022);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614675;9;20.7;2025-03-17;2025-03-23;1.2;LINESTRING (10.070779 53.619835,10.070339 53.620011);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614676;9;20.6;2025-03-17;2025-03-23;1.2;LINESTRING (10.069849 53.620017,10.070339 53.620011);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614677;12;18.4;2025-03-17;2025-03-23;1.5;LINESTRING (10.072698 53.619188,10.072485 53.619395);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614678;12;19.7;2025-03-17;2025-03-23;1.5;LINESTRING (10.034350 53.620170,10.034671 53.620139,10.034782 53.620130,10.034880 53.620121);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614679;13;21.0;2025-03-17;2025-03-23;1.6;LINESTRING (10.034880 53.620121,10.035075 53.620098,10.035221 53.620036);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614680;9;19.8;2025-03-17;2025-03-23;1.2;LINESTRING (10.020759 53.617035,10.020624 53.616980,10.020383 53.616855,10.019268 53.616255);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614681;9;20.0;2025-03-17;2025-03-23;1.2;LINESTRING (10.018308 53.615756,10.018657 53.615926,10.019268 53.616255);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614682;10;20.2;2025-03-17;2025-03-23;1.3;LINESTRING (10.022460 53.617993,10.023074 53.618334,10.023514 53.618600,10.023588 53.618642);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614683;10;20.0;2025-03-17;2025-03-23;1.3;LINESTRING (10.023588 53.618642,10.024281 53.619034,10.024730 53.619280);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614684;10;19.6;2025-03-17;2025-03-23;1.3;LINESTRING (10.027278 53.622529,10.027257 53.622459,10.027209 53.622092,10.027239 53.621449,10.027229 53.621321,10.027215 53.621278);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614685;10;21.1;2025-03-17;2025-03-23;1.3;LINESTRING (10.027215 53.621278,10.027204 53.621245,10.027148 53.621149,10.027035 53.620985,10.026866 53.620784,10.026655 53.620582,10.026297 53.620295,10.026158 53.620204);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614686;10;19.0;2025-03-17;2025-03-23;1.3;LINESTRING (10.026158 53.620204,10.025593 53.619836,10.025216 53.619585,10.024730 53.619280);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614687;10;19.0;2025-03-17;2025-03-23;1.3;LINESTRING (10.062354 53.601139,10.062420 53.601282);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614688;10;21.3;2025-03-17;2025-03-23;1.3;LINESTRING (9.997773 53.605199,9.997299 53.604757);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614689;9;20.4;2025-03-17;2025-03-23;1.2;LINESTRING (9.997229 53.604681,9.997299 53.604757);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614690;11;17.6;2025-03-17;2025-03-23;1.4;LINESTRING (9.997306 53.604983,9.997277 53.605058,9.997236 53.605141);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614691;12;23.1;2025-03-17;2025-03-23;1.5;LINESTRING (9.997097 53.605332,9.997158 53.605248,9.997236 53.605141);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614692;10;23.1;2025-03-17;2025-03-23;1.3;LINESTRING (9.996783 53.606027,9.996850 53.605764);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614693;9;21.6;2025-03-17;2025-03-23;1.2;LINESTRING (9.996944 53.605583,9.996908 53.605633,9.996850 53.605764);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614694;16;23.7;2025-03-17;2025-03-23;1.9;LINESTRING (9.996804 53.606587,9.996762 53.606384,9.996747 53.606175);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614695;15;25.9;2025-03-17;2025-03-23;1.8;LINESTRING (9.998200 53.608576,9.998153 53.608530,9.998022 53.608401,9.997928 53.608309);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614696;9;25.1;2025-03-17;2025-03-23;1.2;LINESTRING (9.997826 53.608194,9.997928 53.608309);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614697;14;24.7;2025-03-17;2025-03-23;1.7;LINESTRING (9.999069 53.609308,9.999655 53.609694);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614698;15;23.9;2025-03-17;2025-03-23;1.8;LINESTRING (10.001795 53.610780,10.001322 53.610580,10.000820 53.610356,10.000173 53.610010,9.999655 53.609694);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614699;15;19.8;2025-03-17;2025-03-23;1.8;LINESTRING (10.001454 53.611408,10.001964 53.611075,10.002022 53.611037,10.002191 53.610926);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614700;9;18.4;2025-03-17;2025-03-23;1.2;LINESTRING (10.003040 53.610374,10.002831 53.610537,10.002449 53.610769,10.002328 53.610843,10.002191 53.610926);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614701;10;13.9;2025-03-17;2025-03-23;1.3;LINESTRING (10.010162 53.611703,10.009756 53.611579,10.009219 53.611479);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614702;10;19.5;2025-03-17;2025-03-23;1.3;LINESTRING (10.008866 53.611437,10.009219 53.611479);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614703;11;19.3;2025-03-17;2025-03-23;1.4;LINESTRING (10.011501 53.612053,10.011146 53.611945,10.010162 53.611703);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614704;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (10.015185 53.613453,10.014590 53.613214);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614705;11;12.8;2025-03-17;2025-03-23;1.4;LINESTRING (10.050739 53.599481,10.050736 53.599316);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614706;10;17.5;2025-03-17;2025-03-23;1.3;LINESTRING (10.050722 53.598736,10.050736 53.599316);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614707;9;20.8;2025-03-17;2025-03-23;1.2;LINESTRING (10.003399 53.609952,10.003510 53.609403,10.003543 53.609275,10.003587 53.609189,10.003607 53.609149,10.003647 53.609105,10.003704 53.609043);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614708;9;18.8;2025-03-17;2025-03-23;1.2;LINESTRING (10.002886 53.608735,10.003502 53.608967,10.003553 53.608986,10.003704 53.609043);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614709;9;19.3;2025-03-17;2025-03-23;1.2;LINESTRING (9.993001 53.592891,9.992919 53.592850,9.992826 53.592803,9.992727 53.592754,9.992663 53.592733,9.992610 53.592719,9.992500 53.592703);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614710;13;19.8;2025-03-17;2025-03-23;1.6;LINESTRING (9.987858 53.581742,9.987858 53.581762,9.987873 53.581816,9.987898 53.581869,9.987954 53.581938);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614711;10;24.3;2025-03-17;2025-03-23;1.3;LINESTRING (9.988818 53.579477,9.988863 53.579004,9.988868 53.578949,9.988880 53.578789);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614712;13;23.8;2025-03-17;2025-03-23;1.6;LINESTRING (9.988929 53.577647,9.988938 53.577808,9.988939 53.577839,9.988943 53.577956,9.988941 53.578112,9.988931 53.578280,9.988900 53.578594,9.988894 53.578657,9.988880 53.578789);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614713;9;13.0;2025-03-17;2025-03-23;1.2;LINESTRING (9.988114 53.572662,9.988307 53.572662,9.988372 53.572663,9.988658 53.572664);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614714;11;12.3;2025-03-17;2025-03-23;1.4;LINESTRING (9.988663 53.573007,9.988657 53.572842,9.988657 53.572791,9.988658 53.572664);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614715;16;15.2;2025-03-17;2025-03-23;1.9;LINESTRING (9.983577 53.592238,9.983814 53.592344);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614716;22;21.0;2025-03-17;2025-03-23;2.3;LINESTRING (9.986131 53.578789,9.986130 53.578911,9.986130 53.578980,9.986124 53.580021);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614717;22;21.3;2025-03-17;2025-03-23;2.3;LINESTRING (9.986124 53.580021,9.986119 53.581097,9.986072 53.581250);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614718;10;22.0;2025-03-17;2025-03-23;1.3;LINESTRING (9.983985 53.581232,9.985791 53.581248,9.986072 53.581250);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614719;19;19.7;2025-03-17;2025-03-23;2.1;LINESTRING (9.987533 53.581390,9.986944 53.581297,9.986300 53.581265,9.986072 53.581250);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614720;13;21.0;2025-03-17;2025-03-23;1.6;LINESTRING (9.985249 53.582926,9.985988 53.581426,9.986072 53.581250);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614721;20;20.2;2025-03-17;2025-03-23;2.2;LINESTRING (9.986129 53.577637,9.986130 53.577845,9.986130 53.577913,9.986130 53.578557,9.986130 53.578646,9.986131 53.578789);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614722;9;19.8;2025-03-17;2025-03-23;1.2;LINESTRING (9.984265 53.578799,9.985842 53.578787,9.985893 53.578788,9.986131 53.578789);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614723;20;21.8;2025-03-17;2025-03-23;2.2;LINESTRING (9.986133 53.575673,9.986131 53.576655);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614724;20;20.8;2025-03-17;2025-03-23;2.2;LINESTRING (9.986131 53.576655,9.986130 53.577411,9.986130 53.577486,9.986129 53.577637);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614725;20;21.1;2025-03-17;2025-03-23;2.2;LINESTRING (9.986140 53.574255,9.986140 53.574384,9.986139 53.574448,9.986133 53.575370,9.986133 53.575478,9.986133 53.575673);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614726;12;19.8;2025-03-17;2025-03-23;1.5;LINESTRING (9.984010 53.572544,9.985745 53.572592,9.986141 53.572603);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614727;29;15.3;2025-03-17;2025-03-23;2.8;LINESTRING (9.985403 53.571379,9.985697 53.571908,9.986004 53.572390,9.986067 53.572488,9.986141 53.572603);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614728;21;18.9;2025-03-17;2025-03-23;2.3;LINESTRING (9.986141 53.573524,9.986141 53.572847,9.986141 53.572747,9.986141 53.572603);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614729;13;17.5;2025-03-17;2025-03-23;1.6;LINESTRING (9.987136 53.572633,9.986492 53.572614,9.986440 53.572612,9.986141 53.572603);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614730;18;18.6;2025-03-17;2025-03-23;2.0;LINESTRING (9.984126 53.569484,9.984335 53.569708);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614731;19;18.1;2025-03-17;2025-03-23;2.1;LINESTRING (9.984625 53.570129,9.984543 53.569991,9.984496 53.569924,9.984335 53.569708);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614732;16;22.0;2025-03-17;2025-03-23;1.9;LINESTRING (9.983369 53.568690,9.983523 53.568838);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614733;13;23.0;2025-03-17;2025-03-23;1.6;LINESTRING (9.977847 53.565032,9.977952 53.565142,9.978071 53.565253);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614734;13;21.0;2025-03-17;2025-03-23;1.6;LINESTRING (9.978473 53.565541,9.978189 53.565346,9.978071 53.565253);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614735;10;20.9;2025-03-17;2025-03-23;1.3;LINESTRING (10.008227 53.614418,10.008494 53.613931);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614736;12;17.9;2025-03-17;2025-03-23;1.5;LINESTRING (10.013588 53.639268,10.013520 53.639373,10.013310 53.639702,10.013274 53.639754,10.013206 53.639874);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614737;17;17.2;2025-03-17;2025-03-23;1.9;LINESTRING (10.012892 53.640399,10.012932 53.640335,10.013111 53.640058,10.013153 53.639981,10.013206 53.639874);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614738;10;13.8;2025-03-17;2025-03-23;1.3;LINESTRING (10.013918 53.640035,10.013582 53.639961,10.013418 53.639924,10.013206 53.639874);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614739;13;12.6;2025-03-17;2025-03-23;1.6;LINESTRING (10.012746 53.639745,10.012799 53.639763,10.013003 53.639827,10.013206 53.639874);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614740;18;14.8;2025-03-17;2025-03-23;2.0;LINESTRING (10.033163 53.587857,10.033142 53.588063);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614741;77;21.4;2025-03-17;2025-03-23;5.6;LINESTRING (10.014011 53.561628,10.013586 53.561321,10.013536 53.561287);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614742;20;19.8;2025-03-17;2025-03-23;2.2;LINESTRING (10.013373 53.561164,10.013536 53.561287);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614743;9;15.4;2025-03-17;2025-03-23;1.2;LINESTRING (10.029069 53.622627,10.029409 53.622606);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614744;16;19.4;2025-03-17;2025-03-23;1.9;LINESTRING (10.041969 53.598652,10.041924 53.598649,10.041871 53.598644,10.041798 53.598637);EPSG:4326
