_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7614602;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (9.984735 53.548044,9.985260 53.547938);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614603;10;21.1;2025-03-17;2025-03-23;1.3;LINESTRING (9.986083 53.547692,9.986066 53.547696,9.985808 53.547760,9.985426 53.547869,9.985260 53.547938);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614604;9;21.8;2025-03-17;2025-03-23;1.2;LINESTRING (9.974988 53.549421,9.976356 53.549344,9.977052 53.549309,9.977468 53.549296,9.977553 53.549295);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614605;9;20.9;2025-03-17;2025-03-23;1.2;LINESTRING (9.972140 53.549851,9.971825 53.549909,9.971606 53.549955,9.971425 53.550002);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614606;10;17.8;2025-03-17;2025-03-23;1.3;LINESTRING (9.924818 53.550850,9.925267 53.550837,9.925449 53.550821,9.925530 53.550810);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614607;14;19.3;2025-03-17;2025-03-23;1.7;LINESTRING (9.911729 53.551121,9.911085 53.551143,9.910452 53.551174,9.910115 53.551200,9.909425 53.551278);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614608;13;19.0;2025-03-17;2025-03-23;1.6;LINESTRING (9.908742 53.551341,9.909425 53.551278);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614609;15;23.3;2025-03-17;2025-03-23;1.8;LINESTRING (10.059119 53.593588,10.058973 53.593486);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614610;15;22.8;2025-03-17;2025-03-23;1.8;LINESTRING (10.058779 53.593346,10.058973 53.593486);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614611;17;17.7;2025-03-17;2025-03-23;1.9;LINESTRING (10.065893 53.598428,10.065740 53.598317,10.065542 53.598177,10.065481 53.598137);EPSG:4326
DE.HH.UP_LETZTE_WOCHE_7614612;22;20.7;2025-03-17;2025-03-23;2.3;LINESTRING (10.069671 53.602718,10.069543 53.602442,10.069482 53.602337,10.069203 53.601862);EPSG:4326
